customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2631-EBEOO,Female,1,No,No,8,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,98.51,806.17,Yes
3022-KXNYU,Male,0,Yes,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.65,1237.21,Yes
5631-SZNBR,Male,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.67,438.79,Yes
5944-EPRDC,Female,0,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,79.09,1458.29,No
1200-AWLHW,Male,0,No,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.79,716.23,No
7946-RPZZA,Female,0,No,No,72,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),77.15,5561.69,Yes
3616-NCFSQ,Female,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,75.64,3222.19,No
1054-JTWUZ,Female,0,No,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),21.27,444.89,No
6355-FUMVN,Male,0,Yes,No,32,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),83.68,2641.94,No
9869-POAOZ,Female,0,Yes,No,32,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,54.05,1726.24,No
3796-HHKCW,Female,0,No,No,25,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),73.05,1827.61,No
2637-LPNVO,Female,1,No,Yes,9,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,102.11,915.51,Yes
5944-QTQPI,Male,0,Yes,No,43,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),59.29,2538.01,Yes
9083-BDHOH,Male,0,No,Yes,17,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),100.09,1683.12,Yes
3243-STYTA,Male,0,Yes,Yes,13,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),65.5,840.62,No
1677-IDBZK,Male,0,Yes,No,19,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,70.22,1337.92,Yes
1534-NFQPZ,Female,0,Yes,No,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.25,959.85,No
3822-WLWMQ,Female,0,No,Yes,17,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,68.39,1234.35,No
2959-XHBQJ,Female,0,Yes,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.28,467.34,No
7311-ZDGEQ,Male,0,No,No,72,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Mailed check,87.02,6276.16,No
8883-TARZB,Male,0,Yes,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),21.36,369.36,No
6070-BNJHE,Male,1,Yes,Yes,23,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),70.48,1624.37,No
6335-LAHQY,Male,0,Yes,Yes,25,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),71.36,1802.68,Yes
7078-WPYLK,Male,1,Yes,No,18,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,55.83,1005.69,No
3721-PBLKK,Male,0,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.61,397.06,No
5230-GLVRU,Male,0,No,No,27,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),89.11,2390.01,Yes
6862-YUBRE,Female,0,No,No,17,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),59.51,1020.92,Yes
6951-WZXSW,Male,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.25,123.46,No
5996-IJSQV,Female,0,No,No,6,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),77.89,461.95,No
5710-IXUKS,Female,0,No,No,24,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),63.95,1542.32,No
9514-FHTHI,Male,0,Yes,Yes,69,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,56.0,3834.64,Yes
9293-XEHTN,Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,383.8,No
7959-ZDZTW,Female,0,No,Yes,30,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.95,2277.91,Yes
5355-KKSWP,Male,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,21.42,1180.1,No
7560-GHDSG,Male,0,No,Yes,36,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,81.97,2955.1,Yes
5428-ITOBD,Female,0,No,No,25,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),56.51,1403.91,No
5528-YHXZB,Male,0,Yes,Yes,23,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),74.0,1705.9,No
6835-FDMQW,Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.09,326.72,No
1603-OPTAX,Male,0,No,No,42,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),71.71,3042.64,No
1982-JMTJR,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,21.22,1112.2,No
5436-VWXNC,Female,0,No,No,0,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,79.63, ,Yes
9377-YJPNH,Female,0,No,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,21.74,903.64,No
9167-SGVCM,Female,0,Yes,No,37,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Electronic check,70.68,2584.51,No
4895-TYWLK,Male,0,No,No,19,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),82.39,1520.32,No
4308-QXNFY,Female,0,No,No,14,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),53.92,725.17,Yes
1850-FORRI,Male,0,No,No,34,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),73.35,2512.98,No
2868-MOLQH,Male,0,No,No,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,102.45,No
3029-GJDQB,Female,0,Yes,No,19,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,43.7,846.72,No
2776-XEBSS,Male,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.91,602.31,No
6300-ZMURI,Female,0,No,No,59,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,72.99,4314.2,Yes
3851-JXVTA,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,97.64,7046.71,No
3340-QFLJR,Female,0,Yes,No,10,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),91.26,944.69,Yes
3300-AEBQW,Female,0,Yes,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.36,645.57,No
9360-YZGWP,Female,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.25,529.2,No
4496-YTHPI,Male,1,Yes,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.17,828.95,No
5041-YZNLN,Male,0,Yes,No,22,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,60.6,1306.53,Yes
3440-QJFIB,Male,0,No,No,40,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.27,1926.77,No
8851-ROMUR,Male,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.51,663.28,No
4253-YPCXV,Male,0,No,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,87.9,1454.53,No
9782-APEVB,Female,1,No,Yes,40,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,83.15,3335.77,Yes
3052-CQOGD,Male,0,No,No,22,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,85.97,1952.21,Yes
1175-UQXCA,Male,0,No,No,26,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,72.52,1936.07,Yes
2914-PSUYB,Male,0,No,No,12,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),77.98,946.65,No
2449-NGYED,Male,0,No,No,20,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Mailed check,79.11,1590.44,No
7518-XFRUV,Female,0,No,Yes,58,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),81.96,4704.84,No
7540-BHNDA,Female,0,Yes,No,16,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),59.54,921.85,No
7437-RIMAG,Female,1,Yes,No,72,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,81.15,5861.12,No
8384-NRIWS,Female,1,No,Yes,27,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),44.16,1172.8,No
1859-FIJVY,Male,0,No,No,31,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),71.44,2206.26,No
8357-CCOHV,Female,1,No,Yes,14,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,1149.67,Yes
8956-QLOOQ,Male,0,No,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21.97,912.99,No
3871-JFECD,Male,0,No,Yes,6,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),68.28,422.2,No
5751-KZSBT,Male,1,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.92,426.6,No
5938-DUJHD,Female,0,No,No,14,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,86.15,1213.55,No
4946-UKMHR,Male,0,No,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.68,192.19,No
7411-ZNKHQ,Male,0,Yes,No,39,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),76.52,2929.14,No
4594-OUYVW,Male,0,No,No,21,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,97.26,2053.77,Yes
9362-HDQGS,Male,0,No,No,26,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,84.66,2176.04,Yes
7343-SHVXC,Female,0,No,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.08,327.95,No
7890-QAACT,Male,0,Yes,Yes,44,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),60.59,2674.65,Yes
7930-GGNAQ,Male,0,Yes,Yes,30,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),65.18,1920.81,Yes
8964-LHCJJ,Male,0,No,No,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.95,1282.97,No
1539-TMEBN,Female,0,No,No,15,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),55.72,822.05,No
1792-RSDTW,Male,0,No,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),21.93,330.96,No
8252-WHZLW,Male,0,Yes,No,36,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.75,2495.06,Yes
2746-FMRUF,Male,0,No,Yes,70,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,67.11,4702.27,No
9349-SUIQM,Female,0,Yes,Yes,17,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),63.42,1073.22,Yes
3044-QNJQO,Female,0,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,72.46,118.04,No
9897-XXHKB,Female,1,Yes,Yes,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,92.72,761.25,Yes
9054-YQBLA,Male,0,No,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.18,1280.29,No
1108-MTSDO,Female,0,No,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),79.48,1583.54,No
2646-GYEHY,Female,0,Yes,No,72,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,80.11,5756.69,Yes
2700-ISCSP,Female,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),81.71,825.23,Yes
1322-CJNRR,Male,0,No,No,36,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,93.53,3377.09,Yes
1982-TVULB,Male,0,No,No,37,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,78.88,2911.0,Yes
7444-KTSAH,Male,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.75,102.3,No
7461-HVDFA,Female,1,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,22.6,132.47,No
3043-TJHLV,Male,0,Yes,No,21,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),70.62,1471.8,No
9427-FWWSX,Male,0,Yes,Yes,38,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,79.62,3058.07,Yes
6142-XOUHB,Male,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,82.62,2720.79,Yes
4704-IEOXQ,Female,1,No,Yes,22,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,80.11,1741.95,Yes
3031-NMNRB,Male,1,No,No,21,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,59.06,1219.22,Yes
9224-NRFBJ,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.48,61.02,No
8960-GULWF,Female,0,No,No,12,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,71.46,860.81,Yes
5604-YXCDX,Female,0,No,No,5,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),72.39,350.93,No
9386-UFGCU,Male,0,No,No,32,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,68.97,2247.3,Yes
7773-PYRDI,Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),90.65,771.1,No
5437-APFQI,Female,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.9,1301.37,No
6339-JHUAR,Female,1,No,Yes,26,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),52.1,1341.46,No
9373-OFKBR,Male,0,Yes,No,12,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),51.53,612.57,No
4902-DYTAX,Male,0,Yes,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.11,1085.34,No
5944-GKXFR,Male,0,No,No,8,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Mailed check,69.66,540.78,No
6811-GCTZV,Male,0,No,No,8,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Credit card (automatic),49.3,379.57,No
2198-YKTBW,Male,0,Yes,Yes,11,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,81.09,856.74,Yes
6670-PSMOC,Male,0,Yes,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.41,1035.13,No
9036-GAWPU,Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.53,1607.19,Yes
8780-JHBQI,Female,0,Yes,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,89.21,Yes
2605-LWFFO,Male,0,No,No,72,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),82.74,5932.76,No
1138-ZAHET,Female,0,No,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,22.28,873.96,No
8925-GUQEF,Female,0,No,No,17,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),60.93,1028.53,Yes
6632-SJRES,Male,0,Yes,Yes,37,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),65.13,2441.12,Yes
1932-ZZMCJ,Female,1,Yes,Yes,52,No,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),55.6,2863.58,No
6728-CBASI,Male,1,Yes,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Electronic check,94.02,1161.12,Yes
5007-VRCLS,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),78.66,4103.79,No
7716-UTGPN,Male,0,No,No,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,439.14,Yes
2234-KFFLZ,Female,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.96,97.96,No
8765-OOTSS,Male,0,No,No,39,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),42.51,1687.81,No
8718-MMRNH,Male,0,Yes,Yes,67,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),47.47,3196.93,Yes
3529-MQRBU,Male,0,Yes,No,34,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,72.26,2455.22,No
4207-LRXRM,Female,0,No,No,9,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),85.69,757.09,Yes
2509-YJDVS,Female,0,Yes,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.99,640.07,Yes
5825-RHPLD,Male,0,No,No,30,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,86.05,2572.5,No
7915-LIXKQ,Male,0,Yes,No,37,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,95.5,3537.89,Yes
8131-QCDGY,Male,0,No,No,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.06,79.01,No
6049-IXLBN,Female,0,Yes,Yes,5,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,76.27,326.21,Yes
5699-VMUIT,Male,0,Yes,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,24.31,428.74,No
1015-WSDQP,Male,0,Yes,No,46,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),89.55,4133.2,No
7334-KTNJR,Female,0,No,No,41,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,82.61,3443.17,No
6735-UYDMY,Female,0,No,No,49,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),87.91,4302.96,No
8364-ZDFUH,Male,1,No,No,37,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.12,2087.99,Yes
9705-KIFRM,Female,0,Yes,No,43,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,86.68,3726.96,Yes
1889-YMCPH,Male,1,Yes,Yes,30,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,78.38,2360.4,Yes
4274-DLWNY,Female,0,Yes,No,22,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,75.51,1666.02,No
5820-QJINC,Male,0,No,Yes,40,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),99.03,3970.48,Yes
1908-CCTBY,Female,0,Yes,No,8,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,78.56,639.82,No
5432-EVIWE,Female,0,Yes,No,11,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),54.89,619.07,No
2978-MNZPM,Female,0,No,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.4,157.09,No
7112-JLJLK,Male,1,No,No,29,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,81.8,2380.08,Yes
2612-FPMWS,Female,0,Yes,No,9,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),63.99,598.87,Yes
1154-VDZSR,Male,0,Yes,No,2,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),54.24,111.87,No
4469-SQJEN,Male,0,Yes,Yes,6,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),61.29,402.3,Yes
2103-ZAVLK,Female,0,No,Yes,67,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),75.72,5099.29,Yes
3660-FBVOM,Male,0,Yes,No,29,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,71.23,2039.52,Yes
6769-DNOTA,Female,0,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,962.04,No
2230-KJUXD,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,68.73,305.53,Yes
